ORDER #,CUSTOMER #,INVOICE DATE,QTY SHIPPED,ITEM #,ITEM PRICE
21804,1HOWMC,2015-02-13,4.0,AAH03RDF8AA7,265.6
21804,1HOWMC,2015-02-13,4.0,QA01113,17.0
21805,1WEBCH,2015-03-20,2.0,AAH65RDF9AA3,453.0
21805,1WEBCH,2015-03-20,2.0,Q869,50.0
21805,1WEBCH,2015-03-20,2.0,NAE6522,12.25
21806,1BRADF,2015-02-06,1.0,AAH01QDC9JC2,362.0
21832,*700,2015-03-20,2.0,AAH02JDH9JA2,465.0
21849,1GLMSS,2015-01-30,1.0,MANAGEMENT FEE,1800.0
21850,1GLMSS,2015-01-30,1.0,MANAGEMENT FEE,1800.0
21035,4SOUHC,2015-03-27,150.0,LDF450A,2.6
21035,4SOUHC,2015-03-27,1.0,SIGK12,18.95
21870,*700,2015-02-20,1.0,AAH56RDC9KA1,749.0
21876,1HILIT,2015-02-13,1.0,AAH88QCP9JA2,475.0
21876,1HILIT,2015-02-13,1.0,PMMN4013,70.0
21189,7EMAMB,2015-03-20,2.0,F5218A,2076.0
21189,7EMAMB,2015-03-20,2.0,VA00845AA,104.0
21189,7EMAMB,2015-03-20,2.0,VA00840AA,284.0
21189,7EMAMB,2015-03-20,2.0,VA00822AA,200.0
21189,7EMAMB,2015-03-20,2.0,VA00763AA,236.0
21189,7EMAMB,2015-03-20,2.0,VA00795AA,1116.0
21022,1GHDPS,2015-02-27,1.0,VA00763AA,236.0
21022,1GHDPS,2015-02-27,1.0,VA00845AA,104.0
21022,1GHDPS,2015-02-27,1.0,VA00840AA,284.0
21022,1GHDPS,2015-02-27,1.0,VA00822AA,200.0
21022,1GHDPS,2015-02-27,1.0,VA00795,1116.0
21887,1STOWE,2015-03-13,1.0,RMN5068,110.0
21887,1STOWE,2015-03-13,1.0,SEC1212SM,149.0
21887,1STOWE,2015-03-13,1.0,RAE4004AMB,100.0
21889,1POKPP,2015-03-13,4.0,91843,636.0
21889,1POKPP,2015-03-13,4.0,91850,50.0
21890,*700,2015-02-20,3.0,AAH73WCF9NA5,305.0
21891,1GNSAM,2015-02-20,4.0,AAH84RCS8AA1,200.0
21891,1GNSAM,2015-02-20,4.0,PMMN4029,63.75
21892,4STUPD,2015-02-20,4.0,RLN4941,55.0
21772,1FISSC,2015-02-13,5.0,PMLN5842,51.0
21899,4VANCS,2015-05-15,1.0,PB47UINT13,280.0
21899,4VANCS,2015-05-15,1.0,ES100,200.0
21899,4VANCS,2015-05-15,1.0,ESBEXP07,30.0
21906,1FISSC,2015-02-13,10.0,AAH56RDN9KA1,769.75
21912,1HAWOR,2015-02-20,1.0,AAH56RDN9KA1,799.0
21514,1KUYPE,2015-02-20,1.0,PMMN4071,70.0
21912,1HAWOR,2015-02-20,4.0,WPLN4232,53.55
21935,1MASGR,2015-02-20,1.0,AAH84RCJ8AA1,220.0
21939,1ROBBO,2015-02-20,10.0,PMNN4077,94.5
21941,1HOLSD,2015-03-20,1.0,AAM01JQC9JC1,433.6
21942,1HOLSD,2015-03-20,1.0,AAM01JQC9JC1,433.6
21945,1HAWOR,2015-02-13,2.0,AAH56RDN9KA1,799.0
21946,1SUSPA,2015-02-20,2.0,AAH84RCJ8AA1,220.0
21950,7MEDUS,2015-02-27,10.0,AAH01QDC9JA2,412.0
21950,7MEDUS,2015-02-27,10.0,PMMN4013,73.5
21978,1CASSC,2015-06-30,1.0,RX2700CC,1450.0
21978,1CASSC,2015-06-30,1.0,ES100,210.0
21978,1CASSC,2015-06-30,1.0,ESBEXP07,30.0
21978,1CASSC,2015-06-30,1.0,MISC150,150.0
21987,1HOLPD,2015-02-13,3.0,51078-19-1 SZ,59.99
21989,1ALLCD,2015-02-13,1.0,A03JAC9JA1,440.84
20702,*700,2015-03-06,1.0,0105950U15,30.0
21895,1OTTCE,2015-03-27,4.0,SMW3053C002CBLK180,157.0
21895,1OTTCE,2015-03-27,4.0,1409320100,1490.0
21895,1OTTCE,2015-03-27,4.0,3YRWTYFUSION,250.0
21889,1POKPP,2015-03-13,4.0,92987,65.0
22017,1KENQF,2015-02-20,2.0,AAH55QDC9LA1,776.25
22017,1KENQF,2015-02-20,1.0,AAH55QDH9LA1,838.75
22017,1KENQF,2015-02-20,8.0,PMNN4077,88.0
22032,4LINTP,2015-08-07,1.0,P4704UINT13A,600.0
22032,4LINTP,2015-08-07,1.0,RP47UINT13,110.0
22032,4LINTP,2015-08-07,1.0,SP47BS13,90.0
22032,4LINTP,2015-08-07,1.0,B4705UINT13,400.0
22032,4LINTP,2015-08-07,1.0,CVS1308INUT,360.0
22032,4LINTP,2015-08-07,1.0,CCUP2I,40.0
22032,4LINTP,2015-08-07,1.0,CARM101,90.0
22032,4LINTP,2015-08-07,1.0,CHDM214,110.0
22032,4LINTP,2015-08-07,1.0,HAF4013,43.0
22032,4LINTP,2015-08-07,1.0,MISC150,150.0
22032,4LINTP,2015-08-07,1.0,RX2700CC,1450.0
22033,1HILIT,2015-02-20,1.0,AAH88QCP9JA2,475.0
21899,4VANCS,2015-05-15,1.0,MISC150,150.0
22035,1OVEFD,2015-02-27,2.0,A03JAC9JA2,392.25
22040,1HOMAC,2015-03-27,2.0,AAH01QDC9JA2,466.0
21022,1GHDPS,2015-02-27,1.0,CAT6ASS5FT,10.0
21555,4BERRC,2015-03-13,3.0,119000B00,79.0
21555,4BERRC,2015-03-13,3.0,119000R00,66.0
21555,4BERRC,2015-03-13,1.0,111005,25.0
21555,4BERRC,2015-03-13,1.0,ACTH15MNT,135.0
22046,1COLIS,2015-02-13,1.0,0180352A06,7.0
22046,1COLIS,2015-02-13,1.0,0180371A24,31.25
22046,1COLIS,2015-02-13,1.0,2880376E84,6.0
22048,1GLMSS,2015-04-27,1.0,SHIRTS,1346.2
22048,1GLMSS,2015-04-27,1.0,NAME BADGES,94.56
22048,1GLMSS,2015-04-27,1.0,OFFICE SUPPLIES,56.87
22048,1GLMSS,2015-04-27,1.0,AIRFARE,367.2
22048,1GLMSS,2015-04-27,1.0,PARKING/TRAVEL,78.0
22048,1GLMSS,2015-04-27,1.0,HOTEL,1461.81
22048,1GLMSS,2015-04-27,1.0,CAR,315.28
22048,1GLMSS,2015-04-27,1.0,OUTBOUND SHIP,53.86
22048,1GLMSS,2015-04-27,1.0,RETURN SHIP,33.47
22050,1MCOOP,2015-03-06,1.0,500,1300.0
21893,7EMAMB,2015-03-31,1.0,7110-0913,341.0
22078,1ROSCA,2015-02-27,6.0,AAH01QDC9JA2,465.0
22078,1ROSCA,2015-02-27,6.0,PMMN4013,70.0
22082,4BERSH,2015-06-19,1.0,SP47BS13,75.0
22082,4BERSH,2015-06-19,1.0,S4705UINT13,1000.0
22082,4BERSH,2015-06-19,1.0,CCMC18,335.0
22082,4BERSH,2015-06-19,1.0,FPWC10285909,40.0
22082,4BERSH,2015-06-19,2.0,FPBLNK2,10.0
22082,4BERSH,2015-06-19,3.0,FPBLNK1,10.0
22082,4BERSH,2015-06-19,1.0,ACINTBHG,60.0
22082,4BERSH,2015-06-19,1.0,ENT2B3R,150.0
22082,4BERSH,2015-06-19,1.0,ENT2B3B,150.0
22082,4BERSH,2015-06-19,1.0,XT4DSB,130.0
22082,4BERSH,2015-06-19,1.0,XT4DSR,130.0
22082,4BERSH,2015-06-19,1.0,5340D,350.0
22082,4BERSH,2015-06-19,1.0,5340WHD,320.0
22082,4BERSH,2015-06-19,1.0,WB47NPUINT13,200.0
22082,4BERSH,2015-06-19,1.0,CMMCMTSALT17,525.0
22082,4BERSH,2015-06-19,1.0,MISC150,150.0
22082,4BERSH,2015-06-19,1.0,RRA4983,60.0
22085,4BERSH,2015-05-29,1.0,P4704UINT13A,600.0
22085,4BERSH,2015-05-29,1.0,RP47UINT13,90.0
22085,4BERSH,2015-05-29,1.0,SP47BS13,75.0
22085,4BERSH,2015-05-29,1.0,S4705UINT13,1000.0
22085,4BERSH,2015-05-29,1.0,CCMC18,335.0
22085,4BERSH,2015-05-29,1.0,FPWC10285909,40.0
22085,4BERSH,2015-05-29,2.0,FPBLNK2,10.0
22085,4BERSH,2015-05-29,3.0,FPBLNK1,10.0
22085,4BERSH,2015-05-29,1.0,ACINTBHG,60.0
22085,4BERSH,2015-05-29,1.0,ENT2B3R,150.0
22085,4BERSH,2015-05-29,1.0,ENT2B3B,150.0
22085,4BERSH,2015-05-29,1.0,XT4DSB,130.0
22085,4BERSH,2015-05-29,1.0,XT4DSR,130.0
22085,4BERSH,2015-05-29,1.0,5340D,350.0
22085,4BERSH,2015-05-29,1.0,5340WHD,320.0
22085,4BERSH,2015-05-29,1.0,WB47NPUINT13,200.0
22085,4BERSH,2015-05-29,1.0,CMMCMTSALT17,525.0
22085,4BERSH,2015-05-29,1.0,MISC150,150.0
22085,4BERSH,2015-05-29,1.0,RRA4983,60.0
22086,4BERSH,2015-05-22,1.0,P4704UINT13A,600.0
22086,4BERSH,2015-05-22,1.0,RP47UINT13,90.0
22086,4BERSH,2015-05-22,1.0,SP47BS13,75.0
22086,4BERSH,2015-05-22,1.0,S4705UINT13,1000.0
22086,4BERSH,2015-05-22,1.0,CCMC18,335.0
22086,4BERSH,2015-05-22,1.0,FPWC10285909,40.0
22086,4BERSH,2015-05-22,2.0,FPBLNK2,10.0
22086,4BERSH,2015-05-22,3.0,FPBLNK1,10.0
22086,4BERSH,2015-05-22,1.0,ACINTBHG,60.0
22086,4BERSH,2015-05-22,1.0,ENT2B3R,150.0
22086,4BERSH,2015-05-22,1.0,ENT2B3B,150.0
22086,4BERSH,2015-05-22,1.0,XT4DSB,130.0
22086,4BERSH,2015-05-22,1.0,XT4DSR,130.0
22086,4BERSH,2015-05-22,1.0,5340D,350.0
22086,4BERSH,2015-05-22,1.0,5340WHD,320.0
22086,4BERSH,2015-05-22,1.0,WB47NPUINT13,200.0
22086,4BERSH,2015-05-22,1.0,CMMCMTSALT17,525.0
22086,4BERSH,2015-05-22,1.0,MISC150,150.0
22086,4BERSH,2015-05-22,1.0,RRA4983,60.0
22087,4BERSH,2015-05-08,1.0,P4704UINT13A,600.0
22087,4BERSH,2015-05-08,1.0,RP47UINT13,90.0
22087,4BERSH,2015-05-08,1.0,SP47BS13,75.0
22087,4BERSH,2015-05-08,1.0,S4705UINT13,1000.0
22087,4BERSH,2015-05-08,1.0,CCMC18,335.0
22087,4BERSH,2015-05-08,1.0,FPWC10285909,40.0
22087,4BERSH,2015-05-08,2.0,FPBLNK2,10.0
22087,4BERSH,2015-05-08,3.0,FPBLNK1,10.0
22087,4BERSH,2015-05-08,1.0,ACINTBHG,60.0
22087,4BERSH,2015-05-08,1.0,ENT2B3R,150.0
22087,4BERSH,2015-05-08,1.0,ENT2B3B,150.0
22087,4BERSH,2015-05-08,1.0,XT4DSB,130.0
22087,4BERSH,2015-05-08,1.0,XT4DSR,130.0
22087,4BERSH,2015-05-08,1.0,5340D,350.0
22087,4BERSH,2015-05-08,1.0,5340WHD,320.0
22087,4BERSH,2015-05-08,1.0,WB47NPUINT13,200.0
22087,4BERSH,2015-05-08,1.0,CMMCMTSALT17,525.0
22087,4BERSH,2015-05-08,1.0,MISC150,150.0
22087,4BERSH,2015-05-08,1.0,RRA4983,60.0
22088,4BERSH,2015-05-15,1.0,P4704UINT13A,600.0
22088,4BERSH,2015-05-15,1.0,RP47UINT13,90.0
22088,4BERSH,2015-05-15,1.0,SP47BS13,75.0
22088,4BERSH,2015-05-15,1.0,S4705UINT13,1000.0
22088,4BERSH,2015-05-15,1.0,CCMC18,335.0
