ORDER #,CUSTOMER #,INVOICE DATE,QTY SHIPPED,ITEM #,DESCRIPTION,ITEM PRICE
21489,4BERSH,2015-03-27,1.0,RSN4001,EXTERNAL SPEAKER 13 WATT,66.0
21489,4BERSH,2015-03-27,1.0,TAD6113,ANTENNA QUARTER WAVE 152-162,19.5
21490,*700,2015-01-30,2.0,AAH56JDN9KA1,XPR7550 VHF PORTABLE 5W 1000CH,842.5
21491,1FOURW,2015-01-23,150.0,PMNN4077,IMPRESS Li-ION BATTERY,81.75
21493,1MCOOP,2015-01-09,1.0,500,CO-OP ADVERTISING,425.0
21494,1HANBT,2015-01-23,1.0,AAH01QDC9JA2,CP200D UHF 4W ND,466.0
21496,1GERBP,2015-01-30,10.0,AAH01QDC9JA2,CP200D UHF 4W ND,399.99
21496,1GERBP,2015-01-30,12.0,NNTN4497,LIION BATTERY 2190 MAH,70.0
21498,1GORFO,2015-02-13,1.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,400.0
21498,1GORFO,2015-02-13,6.0,NAE6522,ANTENNA UHF STUBBY,12.25
21498,1GORFO,2015-02-13,2.0,PMMN4013,REMOTE SPEAKER MIC,73.5
21504,4STUFD,2015-02-06,4.0,AAH55JDH9LA1,VHF MOTOTRBO XPR6550 DSPLY W/,795.0
21505,1NEWEF,2015-01-23,5.0,PMMN4013,REMOTE SPEAKER MIC,73.5
21505,1NEWEF,2015-01-23,6.0,PMAD4025,ANTENNA/ STUBBY 150-161 MHZ,17.83
21505,1NEWEF,2015-01-23,1.0,WPLN4138,DESKTOP RAPID CHARGER,57.75
21506,1FISSC,2015-01-23,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,769.75
21507,7POPEX,2015-02-27,9.0,AAM27QPC9LA1,MOTOTRBO XPR4350 UHF 32CH 40W,588.75
21508,1NEWHB,2015-01-23,4.0,AAH73WCF9NA5,DTR650 1W 900MHZ DIGITAL PRTBL,250.0
21487,1KAMPS,2015-02-13,2.0,AAH02RDC9JA2,MOTO XPR3300 403-512M 16CH,465.0
20461,1EATSD,2015-03-06,6.0,QA00061,IMPRES SUC CHARGER,50.93
21509,1MCOOP,2015-01-09,1.0,500,CO-OP ADVERTISING,453.3
21510,1MCOOP,2015-01-09,1.0,500,CO-OP ADVERTISING,452.61
21511,1MCOOP,2015-01-09,1.0,500,CO-OP ADVERTISING,471.15
21512,1MCOOP,2015-01-09,1.0,500,CO-OP ADVERTISING,436.65
20461,1EATSD,2015-03-06,16.0,HNN4003,2000 MAH IMPRESS BATTERY,73.0
21514,1KUYPE,2015-02-20,1.0,AAH02RDH9JA2,XPR3500 403-512 128CH LKP,506.0
21515,1NEWEF,2015-02-13,1.0,AAH55JDC9LA1,XPR6350 MOTOTRBO  VHF  GPS,695.0
21524,1BUTSE,2015-04-24,1.0,AAM28QPN9KA1,XPR5550 UHF MOBILE 40W 1000CH,747.0
21526,7GRATS,2015-04-30,1.0,L3217,MC2500 MULTI CHAN REMOTE,2326.88
21527,7MARMA,2015-01-23,3.0,AAH01JDC9JA2,CP200D VHF 5W ND,412.5
18184,1HAWOR,2015-01-30,2.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75
18184,1HAWOR,2015-01-30,2.0,PMNN4409,BATTERY IMP LIION FOR XPR,95.2
18184,1HAWOR,2015-01-30,2.0,PMLN7008,MOTO CARRY ACCESSORY-BELT CLIP,10.2
21529,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0
21529,1HAWOR,2015-01-30,2.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75
21529,1HAWOR,2015-01-30,3.0,PMNN4409,BATTERY IMP LIION FOR XPR,95.2
21529,1HAWOR,2015-01-30,3.0,PMLN7008,MOTO CARRY ACCESSORY-BELT CLIP,10.2
21530,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0
21530,1HAWOR,2015-01-30,1.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75
21530,1HAWOR,2015-01-30,3.0,PMNN4409,BATTERY IMP LIION FOR XPR,95.2
21530,1HAWOR,2015-01-30,3.0,PMLN7008,MOTO CARRY ACCESSORY-BELT CLIP,10.2
21531,1HAWOR,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,799.0
21531,1HAWOR,2015-01-30,1.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75
21531,1HAWOR,2015-01-30,3.0,PMNN4409,BATTERY IMP LIION FOR XPR,95.2
21531,1HAWOR,2015-01-30,3.0,PMLN7008,MOTO CARRY ACCESSORY-BELT CLIP,10.2
21538,1HEART,2015-01-23,2.0,AAH88QCP9JA2,MOTO SL300 403-470M 2-3W,475.0
21545,*700,2015-01-30,21.0,AAH73WCF9NA5,DTR650 1W 900MHZ DIGITAL PRTBL,256.0
21545,*700,2015-01-30,1.0,0105950U15,DTR SERIAL DATA CABLE CPS/RSS,30.0
21546,1GRAFR,2015-02-13,1.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,399.99
21548,3GRANF,2015-02-13,1.0,AAH03KEF8AA7,CP185  RADIO  VHF  16CH 5W,225.0
21548,3GRANF,2015-02-13,1.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,399.99
21555,4BERRC,2015-03-13,1.0,LPX53,FED SIG DISCRETE LPX-53,1300.0
21555,4BERRC,2015-03-13,1.0,ENT2B3B,INTERSECTOR UNDER MIRROR BLUE,150.0
21555,4BERRC,2015-03-13,1.0,ENT2B3R,INTERSECTOR UNDER MIRROR RED,150.0
21555,4BERRC,2015-03-13,1.0,TAD6113,ANTENNA QUARTER WAVE 152-162,20.0
21555,4BERRC,2015-03-13,1.0,ES100,FED SIG DYNAMAX COMPACT SPKR,200.0
21555,4BERRC,2015-03-13,1.0,ESBU,ES100 UNIVERSAL BAIL BRACKET,30.0
21555,4BERRC,2015-03-13,1.0,MISC150,MISCELLANEOUS HARDWARE,150.0
21555,4BERRC,2015-03-13,1.0,CMUMNTSALT17,TROY LAPTOP 17 SWING ARM U MNT,465.0
21556,1RESCC,2015-01-30,8.0,AAH01QDC9JA2,CP200D UHF 4W ND,420.0
21556,1RESCC,2015-01-30,1.0,PMLN6588,MULTI UNIT CHARGER FOR CP200,369.75
21559,1KENQF,2015-02-06,1.0,AAH55QDC9LA1,XPR6350 403-470 1-4W 32CH GPS,776.0
21559,1KENQF,2015-02-06,5.0,PMMN4024,REMOTE SPEAKER MIC,72.6
21559,1KENQF,2015-02-06,1.0,WPLN4232,IMPRESS CHARGER 110 VAX,63.0
21563,4VANCS,2015-02-13,1.0,PB47UINT13,PRO-GARD PUSH BUMPER,280.0
21504,4STUFD,2015-02-06,4.0,QA00505,MOTO IMPRES REMOTE SPKR MIC,75.0
21610,5SPRFD,2015-03-20,5.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,418.4
21610,5SPRFD,2015-03-20,2.0,PMNN4451,MOTO BATT PACK LIION IP56,16.0
21622,1HOMET,2015-02-13,2.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,399.99
21622,1HOMET,2015-02-13,2.0,R687,ADD CHARGER AMP,80.0
21622,1HOMET,2015-02-13,1.0,RLN6527,MOTO MINITOR VI PROGRAMMING,38.0
21490,*700,2015-01-30,2.0,PMNN4409,BATTERY IMP LIION FOR XPR,85.0
21645,1COLIS,2015-01-30,1.0,AAM01JNC9JA1,MOTO CM200D 136-174 25W MOBILE,440.0
21651,1GRAGR,2015-02-13,4.0,AAM25DKC9AA1,CDM750 LOWBAND 4CH 40-60W,546.0
21652,1WYOPD,2015-02-06,12.0,NTN9858,BATTERY PACK NI-MH IMPRES,83.0
21675,1MCOOP,2015-01-23,1.0,500,CO-OP ADVERTISING,935.53
21678,1GORFO,2015-02-13,150.0,LMR400,"TIMES MICROWAVE 3/8"" COAXIAL",1.2
21538,1HEART,2015-01-23,2.0,PMLN7158,"MOTO SURV. EARPIECE, IN-LINE",40.0
21692,6SBRAD,2015-02-06,1.0,EPL9000-54,PINNACLE SOS LIGHTBAR,1350.0
21697,1GERBP,2015-02-13,2.0,AAH01QDC9JA2,CP200D UHF 4W ND,435.0
21697,1GERBP,2015-02-13,4.0,NNTN4497,LIION BATTERY 2190 MAH,70.0
21703,1CUSFD,2015-02-13,12.0,A03JAC9JA2,MOTO MIN VI PAGER VHF 143-174,399.99
21740,1VALTP,2015-02-06,6.0,AAH02RDC9JA2,MOTO XPR3300 403-512M 16CH,468.0
21740,1VALTP,2015-02-06,6.0,PMMN4073,"IMPRESS RSM,SMALL 3.5 JACK",70.0
21740,1VALTP,2015-02-06,1.0,PMNN4406,MOTO BATT ST IP67 LION 1500M,66.0
21758,1FISSC,2015-01-30,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,769.75
21765,1WELLP,2015-02-06,2.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,360.0
21765,1WELLP,2015-02-06,2.0,QA00531,MICROPHONE OPTION (PMMN4013),97.86
21691,6SBRAD,2015-02-06,1.0,ENFDWP1RW,SOS NFORCE DUAL STACK WNDSHLD,270.0
21691,6SBRAD,2015-02-06,2.0,ENFDSS1RW,SOS NFORCE DUAL STACK SRFC MNT,240.0
21686,1FOURW,2015-02-06,1.0,S261815,TURBOVUI GATEWAY REPLACEMENT,1075.0
21772,1FISSC,2015-02-13,10.0,AAH56RDN9KA1,XPR7550 UHF PORTABLE 4W 1000CH,769.75
21772,1FISSC,2015-02-13,2.0,PMMN4025,IMPRES REMOTE SPEAKER MIC,79.05
21772,1FISSC,2015-02-13,10.0,NNTN8129,XPR7550/7350 BATTERY IS,112.2
21772,1FISSC,2015-02-13,10.0,WPLN4232,IMPRESS CHARGER 110 VAX,53.55
21772,1FISSC,2015-02-13,1.0,WPLN4212,IMPRESS SIX UNIT GANG CHARGER,420.75
21772,1FISSC,2015-02-13,9.0,NNTN8125,MOTO OPERATION CRITICAL BT,203.15
21780,1MICAT,2015-03-20,1.0,AAM01JQC9JC1,MOTO CM200D 136-174 45W MOBILE,406.25
21780,1MICAT,2015-03-20,1.0,G8U30,MAG MOUNT ANTENNA/ 30' CABLE,49.0
21780,1MICAT,2015-03-20,1.0,HAD4008,ANTENNA KIT QUARTER WAVE,19.5
21622,1HOMET,2015-02-13,2.0,RLN6507,MOTO ANTENNA VHF CHRGR AMP,10.0
21804,1HOWMC,2015-02-13,4.0,AAH03RDF8AA7,CP185 UHF RADIO  435-480MHZ,265.6
21804,1HOWMC,2015-02-13,4.0,QA01113,ALT:PKG W/HC LITH & RAPID CHRG,17.0
21805,1WEBCH,2015-03-20,2.0,AAH65RDF9AA3,PR400  UHF 32 CH  1-4W,453.0
21805,1WEBCH,2015-03-20,2.0,Q869,"OPT:NIMH 1300 MAH, INT SAFE",50.0
21805,1WEBCH,2015-03-20,2.0,NAE6522,ANTENNA UHF STUBBY,12.25
21806,1BRADF,2015-02-06,1.0,AAH01QDC9JC2,CP200D UHF 4W ND ANALOG,362.0
21832,*700,2015-03-20,2.0,AAH02JDH9JA2,MOTO XPR3500 136-174 128CH,465.0
21849,1GLMSS,2015-01-30,1.0,MANAGEMENT FEE,MANAGEMENT FEE,1800.0
21850,1GLMSS,2015-01-30,1.0,MANAGEMENT FEE,MANAGEMENT FEE,1800.0
21035,4SOUHC,2015-03-27,150.0,LDF450A,"1/2"" FOAM HELIAX CBLE/REEL",2.6
21035,4SOUHC,2015-03-27,1.0,SIGK12,"SIGNAL INSIDE 1/2"" GROUND KIT",18.95
